Limb,Total Touches,Touch Durations [Seconds],Total Duration [Seconds],Average Touch Duration [Seconds],Percentage Touching [Seconds],Touch Rate [Touches per Minute],Standart Deviation [Seconds]
LH,0,[],0.0,0.0,0.0,0.0,
RH,4,"[0.76, 0.16, 0.24]",1.16,0.38666666666666666,8.950617283950615,13.88888888888889,0.3257811126098831
LL,1,[0.12],0.12,0.12,0.9259259259259258,4.62962962962963,
RL,0,[],0.0,0.0,0.0,0.0,
Combined,5,,1.2799999999999998,0.25600000000000006,9.87654320987654,23.14814814814815,0.29754551472561863
